;id;CementComponent;BlastFurnaceSlag;FlyAshComponent;WaterComponent;SuperplasticizerComponent;CoarseAggregateComponent;FineAggregateComponent;AgeInDays;Strength
34;34;350.0;0.0;0.0;192.0;0.0;968.0;845.0;28.0;27.23
35;35;160.0;250.0;0.0;168.0;12.0;;688.0;28.0;40.57
36;36;212.5;;100.4;159.3;8.7;1007.8;903.6;14.0;24.4
37;37;425.0;106.3;0.0;153.5;16.5;852.1;887.1;91.0;57.22
38;38;166.1;0.0;163.3;176.5;4.5;1058.6;780.1;3.0;15.87
39;39;307.0;0.0;;193.0;0.0;968.0;812.0;;27.42
40;40;425.0;158.5;0.0;153.5;16.5;852.1;887.1;28.0;55.51
41;41;349.0;0.0;0.0;192.0;0.0;1056.0;809.0;3.0;25.12
42;42;531.3;0.0;0.0;141.8;28.2;852.1;893.7;56.0;38.11
43;43;424.0;22.0;132.0;168.0;8.9;822.0;750.0;56.0;52.52
44;44;326.0;0.0;141.0;199.0;11.0;801.0;792.0;28.0;16.88
45;45;156.0;183.0;0.0;193.0;2.0;;697.0;;24.24
46;46;362.6;0.0;0.0;164.9;11.6;944.7;755.8;91.0;57.22
47;47;141.3;166.4;0.0;203.5;0.0;879.6;748.5;28.0;29.07
48;48;236.0;157.0;0.0;192.0;0.0;972.6;749.1;28.0;39.16
49;49;192.0;;0.0;192.0;0.0;929.8;716.1;3.0;9.69
50;50;122.6;203.5;0.0;203.5;0.0;958.2;800.1;90.0;33.94
51;51;500.0;0.0;0.0;;0.0;1125.0;;3.0;15.36
52;52;332.5;0.0;0.0;;0.0;932.0;;;13.18
53;53;236.0;157.0;0.0;192.0;0.0;972.6;749.1;3.0;12.55
54;54;313.3;262.2;0.0;175.5;8.6;1046.9;611.8;3.0;36.3
55;55;275.0;0.0;0.0;183.0;0.0;1088.0;808.0;90.0;34.56
56;56;236.0;0.0;0.0;194.0;0.0;968.0;885.0;180.0;25.18
57;57;439.0;177.0;0.0;186.0;11.1;884.9;707.9;3.0;15.09
58;58;150.0;142.5;0.0;194.7;6.7;973.4;674.0;28.0;29.65
59;59;322.0;0.0;0.0;203.0;0.0;974.0;800.0;180.0;32.11
60;60;213.7;98.1;24.5;181.9;6.9;1065.8;782.6;3.0;14.59
61;61;325.0;0.0;0.0;184.0;0.0;1063.0;783.0;7.0;11.39
62;62;439.0;177.0;0.0;186.0;11.1;884.9;707.9;28.0;28.24
63;63;382.5;0.0;0.0;185.7;0.0;1047.8;739.3;28.0;37.43
64;64;333.0;0.0;0.0;192.0;0.0;931.2;842.6;28.0;27.22
65;65;251.4;0.0;118.3;188.5;5.8;1028.4;757.7;100.0;45.9
66;66;225.0;0.0;0.0;181.0;0.0;1113.0;833.0;28.0;39.42
67;67;500.0;0.0;0.0;203.0;0.0;1125.0;613.0;14.0;42.64
68;68;531.3;0.0;0.0;141.8;28.2;852.1;893.7;3.0;35.36
69;69;166.8;250.2;0.0;203.5;0.0;975.6;692.6;3.0;14.31
70;70;252.0;0.0;0.0;186.0;;1111.0;784.0;3.0;12.55
71;71;288.0;192.0;0.0;192.0;0.0;932.0;;28.0;39.6
72;72;333.0;0.0;0.0;192.0;0.0;931.2;842.6;90.0;24.1
73;73;213.5;98.1;24.5;181.7;6.7;1065.8;785.6;56.0;35.86
74;74;298.0;0.0;107.0;162.0;13.9;967.0;712.0;28.0;65.2
75;75;540.0;0.0;0.0;173.0;0.0;1125.0;613.0;28.0;31.84
76;76;380.0;95.0;0.0;228.0;0.0;932.0;594.0;90.0;52.91
77;77;;142.5;0.0;228.0;0.0;932.0;594.0;7.0;24.45
78;78;540.0;0.0;0.0;173.0;0.0;1120.0;611.8;3.0;9.85
79;79;439.0;177.0;0.0;186.0;11.6;884.9;709.0;7.0;21.26
80;80;349.0;0.0;;192.0;0.0;1049.0;806.0;90.0;32.9
81;81;307.0;0.0;0.0;193.0;0.0;968.0;812.0;365.0;38.07
82;82;145.3;158.5;0.0;178.5;10.1;879.0;867.8;28.0;40.15
83;83;387.0;20.0;0.0;157.0;11.6;938.0;845.0;28.0;40.15
84;84;198.6;122.6;0.0;192.0;;978.4;800.0;360.0;43.8
85;85;246.8;250.0;0.0;203.5;0.0;977.6;694.1;56.0;21.92
86;86;388.6;97.8;78.4;191.8;10.3;852.1;705.2;;64.9
87;87;385.0;0.0;0.0;186.0;0.0;966.0;763.0;28.0;33.02
88;88;190.7;0.0;125.4;162.1;7.0;1090.0;804.0;28.0;33.4
89;89;249.1;0.0;98.8;158.1;12.8;987.8;889.0;;32.92
90;90;298.2;160.5;107.0;177.6;11.1;879.6;744.2;90.0;51.33
91;91;401.8;94.7;0.0;147.4;11.7;946.8;746.6;56.0;66.42
92;92;366.0;38.0;0.0;228.0;0.0;932.0;670.0;365.0;41.93
93;93;259.9;100.6;78.4;170.6;10.4;935.7;762.9;28.0;57.92
94;94;333.0;0.0;0.0;192.0;0.0;931.2;842.6;7.0;15.42
95;95;500.0;0.0;0.0;200.0;0.0;1125.0;613.0;28.0;37.42
96;96;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;360.0;38.02
97;97;500.0;0.0;0.0;200.0;;1125.0;613.0;14.0;44.28
98;98;166.1;0.0;0.0;203.2;0.0;975.6;692.6;28.0;22.93
99;99;;0.0;0.0;185.7;0.0;1111.6;784.3;7.0;11.17
100;100;295.8;0.0;0.0;185.7;0.0;1069.2;769.3;7.0;21.48
101;101;500.0;0.0;;200.0;0.0;1125.0;613.0;28.0;26.91
102;102;288.0;0.0;0.0;192.0;0.0;932.0;;7.0;20.97
103;103;500.0;0.0;0.0;192.0;0.0;1125.0;613.0;1.0;31.54
104;104;;0.0;0.0;192.0;0.0;931.2;;3.0;4.9
105;105;382.0;0.0;0.0;192.0;0.0;;758.0;90.0;40.93
106;106;200.0;133.0;0.0;195.0;0.0;965.4;806.2;28.0;19.69
107;107;362.6;189.0;0.0;164.9;11.6;944.7;755.8;28.0;62.05
108;108;250.0;0.0;0.0;182.0;0.0;1100.0;820.0;7.0;17.37
109;109;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;28.0;28.68
110;110;252.3;0.0;98.8;146.3;12.8;987.8;889.0;56.0;62.5
111;111;500.0;0.0;0.0;200.0;0.0;1125.0;613.0;3.0;33.8
112;112;277.1;0.0;97.4;160.6;;973.9;875.6;14.0;33.61
113;113;331.0;0.0;0.0;192.0;0.0;;821.0;90.0;46.68
114;114;250.0;0.0;95.7;191.8;5.3;948.9;857.2;28.0;31.12
115;115;167.4;129.9;128.6;175.5;7.8;1006.3;746.6;100.0;50.51
116;116;288.4;121.0;0.0;177.4;7.0;907.9;829.5;28.0;35.57
117;117;540.0;0.0;0.0;173.0;0.0;1125.0;613.0;180.0;35.87
118;118;181.9;134.7;;;11.6;944.7;755.8;28.0;61.89
119;119;295.0;0.0;0.0;185.0;;1069.0;769.0;28.0;37.91
120;120;192.0;288.0;0.0;192.0;0.0;929.8;716.1;7.0;21.92
121;121;297.2;;95.7;171.5;8.6;956.9;856.4;3.0;15.57
122;122;480.0;0.0;0.0;192.0;0.0;936.2;712.2;28.0;55.65
123;123;375.0;;0.0;126.6;23.4;852.1;893.7;56.0;55.25
124;124;331.0;0.0;0.0;192.0;0.0;1025.0;;28.0;25.1
125;125;;0.0;0.0;203.0;0.0;974.0;775.0;180.0;32.92
126;126;151.2;174.2;108.3;;16.5;835.6;813.2;;29.79
127;127;296.0;0.0;0.0;192.0;0.0;1085.0;765.0;90.0;41.68
128;128;157.0;236.0;0.0;;0.0;;781.2;28.0;41.05
129;129;310.0;0.0;0.0;192.0;0.0;970.0;850.0;7.0;13.46
130;130;139.6;209.4;0.0;192.0;0.0;1047.0;;90.0;32.63
131;131;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;180.0;41.54
132;132;359.4;19.6;79.0;162.6;9.6;1014.3;712.2;28.0;47.22
133;133;252.0;;0.0;186.0;0.0;1111.0;;7.0;25.02
134;134;307.0;0.0;0.0;193.0;0.0;968.0;812.0;180.0;24.28
135;135;237.5;237.5;0.0;228.0;0.0;932.0;594.0;90.0;47.74
136;136;446.0;24.0;79.0;162.0;11.6;967.0;712.0;28.0;67.57
137;137;446.0;0.0;79.0;162.0;10.9;967.0;712.0;28.0;46.23
138;138;140.0;;175.0;200.0;10.0;809.0;745.0;28.0;14.2
139;139;397.0;0.0;0.0;185.7;0.0;1040.6;;28.0;32.88
140;140;376.0;0.0;0.0;214.6;0.0;1003.5;762.4;;46.39
141;141;154.0;15.0;141.0;178.0;9.5;842.0;780.0;28.0;39.94
142;142;132.0;207.0;161.0;179.0;5.5;867.0;736.0;28.0;43.57
143;143;254.0;0.0;0.0;198.0;0.0;968.0;863.0;28.0;33.8
144;144;305.3;203.5;0.0;203.5;0.0;965.4;631.0;28.0;29.73
145;145;349.0;0.0;0.0;192.0;0.0;;806.0;;23.69
146;146;183.9;122.6;0.0;203.5;0.0;959.2;800.0;7.0;23.51
147;147;525.0;0.0;0.0;189.0;0.0;1125.0;613.0;28.0;33.61
148;148;183.9;122.6;0.0;203.5;3.0;959.2;800.0;28.0;28.02
149;149;298.0;0.0;107.0;186.0;0.0;849.0;846.0;28.0;35.3
150;150;374.0;0.0;0.0;170.2;11.2;1007.3;730.4;56.0;72.99
151;151;339.0;0.0;0.0;197.0;0.0;968.0;781.0;3.0;9.87
152;152;252.0;0.0;0.0;185.0;0.0;1111.0;784.0;3.0;9.31
153;153;374.0;189.2;0.0;170.1;10.1;926.1;756.7;28.0;40.87
154;154;296.0;0.0;0.0;192.0;0.0;1085.0;765.0;90.0;37.68
155;155;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;14.0;26.2
156;156;500.0;0.0;0.0;;0.0;1125.0;613.0;7.0;33.96
157;157;425.0;106.3;0.0;151.4;18.6;936.0;803.7;100.0;44.64
158;158;273.0;116.0;86.0;194.0;6.0;914.0;680.0;28.0;50.24
159;159;405.0;0.0;0.0;175.0;0.0;1125.0;613.0;180.0;32.85
160;160;;0.0;124.8;159.0;7.8;1085.4;799.5;14.0;22.75
161;161;362.6;189.0;0.0;164.9;11.6;944.7;755.8;91.0;48.85
162;162;190.0;190.0;0.0;228.0;0.0;932.0;670.0;365.0;24.5
163;163;446.0;24.0;79.0;162.0;11.6;967.0;712.0;3.0;22.9
164;164;212.0;0.0;124.8;159.0;7.8;1085.4;799.5;100.0;51.73
165;165;;236.0;0.0;;;935.4;781.2;7.0;23.89
166;166;200.0;200.0;0.0;190.0;0.0;1145.0;660.0;28.0;47.71
167;167;166.1;0.0;;176.5;4.5;1058.6;;28.0;15.61
168;168;382.0;0.0;0.0;186.0;0.0;;739.0;28.0;43.25
169;169;382.0;0.0;0.0;186.0;0.0;1111.0;784.0;7.0;10.79
170;170;218.2;54.6;123.8;140.8;11.9;1075.7;792.7;14.0;41.05
171;171;382.0;;0.0;186.0;0.0;1038.0;;;39.3
172;172;173.5;50.1;159.9;172.3;9.5;1006.2;746.6;56.0;52.43
173;173;;;0.0;203.5;0.0;971.8;748.5;90.0;64.02
174;174;349.0;0.0;0.0;;0.0;;806.9;28.0;41.1
175;175;382.0;0.0;0.0;185.0;;1047.0;739.0;28.0;37.34
176;176;400.0;0.0;0.0;185.0;0.0;1025.0;745.0;7.0;23.84
177;177;322.0;22.0;0.0;178.0;8.5;822.0;750.0;90.0;36.84
178;178;322.0;0.0;0.0;203.0;0.0;974.0;800.0;28.0;41.24
179;179;375.0;0.0;0.0;186.0;0.0;1038.0;758.0;28.0;39.32
180;180;339.0;0.0;0.0;197.0;0.0;968.0;;180.0;39.94
181;181;333.0;0.0;0.0;192.0;0.0;931.2;842.6;;67.8
182;182;;0.0;121.6;174.0;6.7;1056.4;778.5;100.0;59.3
183;183;500.0;0.0;0.0;200.0;0.0;1125.0;613.0;28.0;46.39
184;184;425.0;106.3;0.0;153.5;16.5;852.1;887.1;91.0;56.1
185;185;237.0;237.0;0.0;228.0;0.0;932.0;594.0;28.0;12.25
186;186;237.5;237.5;0.0;228.0;0.0;932.0;594.0;90.0;39.3
187;187;380.0;95.0;0.0;228.0;0.0;932.0;594.0;3.0;21.75
188;188;382.5;;0.0;;0.0;1047.8;739.3;14.0;25.61
189;189;251.4;0.0;118.3;195.2;4.6;1028.4;757.7;100.0;58.8
190;190;184.0;86.0;190.0;195.0;5.0;860.0;734.0;28.0;37.36
191;191;376.0;0.0;0.0;214.6;0.0;1003.5;762.4;28.0;39.3
192;192;296.0;0.0;0.0;186.0;0.0;1090.0;769.0;28.0;34.68
193;193;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;180.0;52.82
194;194;190.7;0.0;125.4;;7.8;1090.0;802.6;56.0;60.29
195;195;237.5;237.5;0.0;228.0;0.0;932.0;594.0;180.0;47.1
196;196;220.8;147.2;0.0;185.7;0.0;1055.0;744.3;28.0;50.24
197;197;135.7;0.0;0.0;185.7;0.0;1076.2;759.3;3.0;15.09
198;198;153.1;144.7;132.1;178.1;8.1;877.2;868.7;;28.1
199;199;295.0;0.0;0.0;186.0;0.0;1069.0;769.0;28.0;27.92
200;200;238.1;0.0;94.1;181.2;7.0;949.9;847.0;28.0;21.86
201;201;500.0;0.0;0.0;200.0;0.0;1125.0;765.0;28.0;29.89
202;202;295.8;0.0;95.6;;8.9;955.1;859.2;100.0;43.01
203;203;339.0;0.0;77.0;196.0;6.0;968.0;754.0;28.0;41.68
204;204;531.3;0.0;0.0;;28.2;852.1;893.7;56.0;45.71
205;205;350.0;0.0;0.0;186.0;0.0;1075.0;775.0;7.0;25.46
206;206;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;28.0;53.52
207;207;525.0;0.0;0.0;189.0;0.0;1125.0;613.0;7.0;23.52
208;208;251.8;0.0;99.9;146.3;12.8;1006.0;899.8;100.0;59.8
209;209;181.4;0.0;0.0;169.6;7.6;1055.6;;100.0;69.66
210;210;424.0;22.0;132.0;178.0;8.5;882.0;;7.0;55.6
211;211;500.0;0.0;0.0;200.0;11.0;1130.0;745.0;28.0;74.99
212;212;427.5;47.5;0.0;228.0;0.0;932.0;594.0;90.0;59.49
213;213;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;3.0;23.69
214;214;289.0;;0.0;192.0;0.0;965.4;765.6;28.0;47.1
215;215;540.0;0.0;;173.0;0.0;1125.0;613.0;14.0;15.52
216;216;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;3.0;16.5
217;217;236.0;0.0;0.0;;0.0;968.0;885.0;3.0;6.94
218;218;382.5;0.0;0.0;185.7;0.0;1047.8;739.3;365.0;43.7
219;219;237.5;237.5;0.0;228.0;0.0;932.0;594.0;90.0;38.46
220;220;;;0.0;203.5;0.0;973.4;875.6;3.0;19.42
221;221;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;7.0;11.47
222;222;362.6;189.0;0.0;164.9;11.6;944.7;755.8;7.0;39.58
223;223;236.0;0.0;0.0;193.0;0.0;968.0;885.0;365.0;25.89
224;224;165.0;0.0;143.6;163.8;0.0;1005.6;900.9;100.0;35.85
225;225;266.0;116.0;0.0;228.0;0.0;932.0;670.0;180.0;45.94
226;226;424.0;22.0;132.0;168.0;8.9;822.0;750.0;28.0;56.83
227;227;374.0;0.0;0.0;190.0;7.0;1013.0;730.0;3.0;25.61
228;228;198.6;132.4;0.0;192.0;0.0;838.6;824.3;90.0;21.29
229;229;305.3;203.5;0.0;203.5;0.0;965.4;631.0;7.0;24.1
230;230;339.0;0.0;158.0;196.0;10.6;949.0;784.0;28.0;22.93
231;231;122.6;183.9;0.0;;0.0;;800.0;90.0;26.94
232;232;310.0;0.0;0.0;192.0;0.0;970.0;850.0;90.0;47.71
233;233;362.6;189.0;0.0;164.9;11.6;944.7;755.8;56.0;53.66
234;234;251.4;0.0;118.3;188.5;5.8;1056.4;757.7;100.0;30.08
235;235;305.3;203.5;;203.5;0.0;965.4;695.8;3.0;13.18
236;236;237.5;237.5;0.0;185.7;0.0;852.1;696.7;56.0;63.53
237;237;;0.0;0.0;188.0;6.0;1075.0;724.0;28.0;60.28
238;238;322.0;145.0;113.0;178.0;;942.0;;28.0;24.39
239;239;238.1;0.0;94.1;197.9;4.6;;852.2;7.0;11.36
240;240;190.3;0.0;125.2;162.1;9.9;1059.4;804.9;28.0;29.79
241;241;286.3;200.9;0.0;144.7;11.2;1004.6;803.7;28.0;34.68
242;242;397.0;0.0;0.0;185.7;0.0;1040.6;734.3;28.0;44.61
243;243;540.0;0.0;0.0;;0.0;1125.0;613.0;28.0;52.42
244;244;310.0;;0.0;192.0;0.0;970.0;850.0;180.0;38.11
245;245;116.0;173.0;0.0;192.0;0.0;909.8;856.8;90.0;35.17
246;246;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;;40.2
247;247;144.8;0.0;133.6;144.7;11.2;1001.8;803.7;28.0;35.23
248;248;212.0;0.0;121.6;159.0;5.8;1043.6;754.3;3.0;15.53
249;249;424.0;;132.0;;9.0;1000.0;822.0;28.0;59.3
250;250;393.0;0.0;0.0;192.0;0.0;940.0;758.0;28.0;39.3
251;251;;145.0;184.0;200.0;8.0;1033.0;822.0;28.0;66.42
252;252;381.4;0.0;0.0;185.7;0.0;1104.6;784.3;90.0;48.85
253;253;393.0;0.0;0.0;186.0;0.0;1113.0;784.0;7.0;17.54
254;254;374.0;;0.0;170.1;10.1;926.1;756.7;7.0;46.9
255;255;531.3;0.0;0.0;181.1;10.3;801.3;728.9;28.0;32.24
256;256;275.1;0.0;121.4;159.5;9.9;1053.6;777.5;3.0;17.57
257;257;540.0;0.0;0.0;173.0;0.0;1125.0;613.0;180.0;40.93
258;258;173.0;116.0;0.0;192.0;0.0;946.8;856.8;90.0;46.23
259;259;379.5;151.2;0.0;153.9;15.9;1134.3;605.0;28.0;55.45
260;260;425.0;106.3;0.0;151.4;18.6;936.0;;28.0;41.68
261;261;151.0;0.0;184.0;167.0;16.0;1074.0;678.0;28.0;36.97
262;262;236.0;157.0;0.0;192.0;0.0;972.6;749.1;7.0;7.68
263;263;331.0;0.0;0.0;;0.0;978.0;825.0;28.0;24.34
264;264;322.5;141.3;0.0;203.5;0.0;959.2;800.1;28.0;44.21
265;265;;237.5;0.0;228.0;0.0;932.0;594.0;365.0;36.94
266;266;302.0;0.0;0.0;;0.0;974.0;817.0;180.0;36.94
267;267;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;7.0;10.34
268;268;237.5;;0.0;185.7;0.0;956.9;692.6;28.0;34.9
269;269;238.1;0.0;0.0;185.7;0.0;1118.8;789.3;28.0;81.75
270;270;446.0;24.0;79.0;162.0;11.6;967.0;712.0;56.0;52.61
271;271;296.0;0.0;0.0;186.0;0.0;1090.0;769.0;7.0;18.42
272;272;425.0;106.3;0.0;153.5;16.5;852.1;887.1;56.0;63.14
273;273;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;90.0;35.23
274;274;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;7.0;21.29
275;275;305.3;203.5;0.0;203.5;0.0;965.4;631.0;28.0;21.65
276;276;310.0;0.0;0.0;192.0;0.0;1012.0;830.0;120.0;30.65
277;277;333.0;0.0;0.0;192.0;0.0;931.2;842.6;3.0;32.4
278;278;236.0;157.0;0.0;192.0;0.0;972.6;749.1;28.0;63.14
279;279;350.0;0.0;0.0;203.0;0.0;974.0;775.0;90.0;31.18
280;280;540.0;0.0;0.0;173.0;0.0;1125.0;613.0;14.0;26.05
281;281;173.8;93.4;159.9;172.3;9.7;1007.2;746.6;3.0;14.2
282;282;313.3;;113.0;178.9;;833.7;611.8;28.0;41.15
283;283;375.0;93.8;0.0;126.6;23.4;852.1;992.6;3.0;32.4
284;284;382.0;0.0;0.0;186.0;0.0;1047.0;739.0;7.0;21.97
285;285;192.0;288.0;0.0;192.0;;929.8;716.1;;33.4
286;286;284.0;15.0;141.0;179.0;5.5;801.0;802.0;28.0;37.17
287;287;157.0;236.0;0.0;192.0;0.0;935.4;785.6;7.0;14.4
288;288;500.0;0.0;0.0;200.0;;1125.0;613.0;180.0;32.33
289;289;295.0;0.0;0.0;185.0;0.0;1069.0;769.0;28.0;27.87
290;290;251.8;0.0;99.9;188.5;12.4;1028.4;899.8;3.0;13.52
291;291;194.7;0.0;100.5;170.2;7.5;998.0;847.0;56.0;60.29
292;292;387.0;0.0;94.1;157.9;15.6;938.2;845.0;3.0;42.8
293;293;331.0;0.0;0.0;192.0;0.0;1025.0;821.0;7.0;36.8
294;294;397.0;0.0;0.0;185.7;0.0;1040.6;734.3;7.0;19.35
295;295;540.0;0.0;0.0;173.0;0.0;1125.0;613.0;;18.13
296;296;;0.0;0.0;185.0;0.0;1040.0;734.0;7.0;24.28
297;297;133.0;210.0;0.0;196.0;3.0;949.0;795.0;28.0;26.05
298;298;133.0;200.0;0.0;;0.0;965.4;827.0;28.0;35.3
299;299;173.0;116.0;0.0;192.0;0.0;946.8;856.8;7.0;21.48
300;300;192.0;288.0;0.0;192.0;0.0;929.8;716.1;90.0;46.68
301;301;387.0;20.0;94.0;157.0;13.9;938.0;845.0;7.0;20.87
302;302;250.2;0.0;0.0;187.4;5.3;956.9;;7.0;33.8
303;303;233.8;0.0;94.6;197.9;7.8;949.9;847.0;3.0;9.87
304;304;222.4;0.0;96.7;189.3;6.1;967.1;870.3;28.0;27.34
305;305;139.6;209.4;0.0;192.0;0.0;1047.0;806.9;28.0;38.46
306;306;304.0;140.0;0.0;214.0;6.0;895.0;722.0;28.0;37.26
307;307;397.0;0.0;0.0;185.0;0.0;1040.0;734.0;28.0;41.84
308;308;376.0;0.0;0.0;214.6;0.0;1003.5;762.4;3.0;25.42
309;309;155.0;145.0;184.0;;8.0;867.0;824.0;28.0;24.5
310;310;102.0;153.0;0.0;192.0;0.0;887.0;942.0;;20.87
311;311;297.0;0.0;0.0;186.0;0.0;1040.0;734.0;28.0;40.06
312;312;350.0;0.0;0.0;203.0;0.0;974.0;775.0;7.0;21.65
313;313;135.7;203.5;0.0;203.5;0.0;965.4;631.0;90.0;79.3
314;314;157.0;243.5;0.0;220.0;5.3;1022.0;698.0;28.0;24.1
315;315;288.0;192.0;0.0;192.0;0.0;;717.8;28.0;22.35
316;316;288.4;121.0;0.0;177.4;7.0;907.9;829.5;28.0;37.81
317;317;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;7.0;9.73
318;318;168.9;42.2;124.3;158.3;10.8;1080.8;;100.0;48.97
319;319;254.0;0.0;0.0;198.0;0.0;968.0;;28.0;10.54
320;320;236.0;157.0;0.0;;0.0;972.6;749.1;28.0;55.83
321;321;393.0;0.0;0.0;192.0;0.0;940.0;758.0;28.0;36.35
322;322;295.7;0.0;95.6;171.5;8.1;955.1;859.2;28.0;41.24
323;323;322.0;0.0;0.0;184.0;1.7;971.0;774.0;28.0;43.39
324;324;313.3;262.2;0.0;175.8;8.6;1046.9;611.8;7.0;55.6
325;325;;0.0;;192.0;0.0;1025.0;821.0;90.0;46.24
326;326;;0.0;0.0;192.0;0.0;1056.0;809.0;28.0;33.4
327;327;297.2;0.0;117.5;174.8;9.5;1022.8;753.5;14.0;35.75
328;328;424.0;178.0;137.0;168.0;20.0;936.0;651.0;28.0;43.73
329;329;238.0;0.0;0.0;185.0;0.0;1119.0;789.0;28.0;56.83
330;330;307.0;0.0;0.0;193.0;0.0;968.0;812.0;7.0;10.34
331;331;144.0;170.0;132.0;178.0;8.0;842.0;709.0;28.0;31.35
332;332;165.0;0.0;143.6;163.8;0.0;1005.6;900.9;28.0;61.99
333;333;522.0;;0.0;146.0;0.0;896.0;896.0;28.0;39.7
334;334;250.0;0.0;0.0;189.0;0.0;1125.0;613.0;28.0;36.8
335;335;135.7;203.5;0.0;185.7;0.0;1076.2;759.3;7.0;8.49
336;336;349.0;0.0;0.0;192.0;0.0;1047.0;806.9;365.0;42.13
337;337;139.6;209.4;0.0;192.0;0.0;1047.0;806.9;7.0;28.63
338;338;251.8;0.0;99.9;146.3;12.4;1006.0;899.8;7.0;7.84
339;339;331.0;0.0;0.0;;0.0;978.0;825.0;7.0;10.09
340;340;139.9;148.9;116.0;175.6;;867.2;824.0;28.0;25.72
341;341;307.0;;0.0;193.0;0.0;968.0;812.0;3.0;33.73
342;342;331.0;0.0;0.0;192.0;0.0;978.0;825.0;7.0;17.24
343;343;159.8;0.0;125.2;183.8;9.9;1049.3;798.9;;35.34
344;344;246.8;0.0;125.1;143.3;12.0;1086.8;800.9;14.0;30.65
345;345;349.0;0.0;0.0;192.0;0.0;1047.0;806.0;180.0;51.04
346;346;339.0;0.0;0.0;197.0;0.0;968.0;781.0;3.0;14.94
347;347;238.0;0.0;0.0;185.0;0.0;1118.0;789.0;7.0;13.09
348;348;288.4;102.3;0.0;192.0;10.4;929.8;716.1;28.0;46.23
349;349;133.0;133.0;0.0;192.0;0.0;932.0;770.0;28.0;31.42
350;350;200.0;0.0;0.0;192.0;0.0;1111.0;806.0;7.0;11.65
